"State","FIPS","Name","TotalVotes","Obama","Romney"
"FL",12057,"Hillsborough",541503,286158,249904
"FL",12055,"Highlands",42440,16147,25912
"FL",12053,"Hernando",83593,37791,44906
"FL",12051,"Hendry",10185,4751,5355
"FL",12049,"Hardee",7222,2461,4694
"FL",12047,"Hamilton",5404,2226,3137
"FL",12045,"Gulf",7107,2013,4995
"FL",12043,"Glades",3989,1603,2344
"FL",12041,"Gilchrist",7908,1885,5917
"FL",12039,"Gadsden",22495,15768,6628
"FL",12037,"Franklin",5474,1845,3570
"FL",12035,"Flagler",50589,23204,26966
"FL",12033,"Escambia",148430,58154,88671
"FL",12031,"Duval",411702,196657,211553
"FL",12029,"Dixie",6941,1798,5052
"FL",12027,"DeSoto",9863,4174,5587
"FL",12023,"Columbia",27163,8462,18429
"FL",12021,"Collier",149080,51678,96508
"FL",12019,"Clay",96549,25745,69996
"FL",12017,"Citrus",73923,28453,44657
"FL",12015,"Charlotte",84664,35896,47988
"FL",12013,"Calhoun",6152,1664,4366
"FL",12011,"Broward",755166,507430,243732
"FL",12009,"Brevard",285504,122972,159270
"FL",12007,"Bradford",11631,3324,8216
"FL",12005,"Bay",79834,22037,56863
"FL",12003,"Baker",11366,2310,8974
"FL",12001,"Alachua",120318,69634,48765
"DC",11001,"District of Columbia",243348,222332,17337
"DE",10005,"Sussex",93215,39971,52116
"DE",10003,"New Castle",251960,167051,81226
"DE",10001,"Kent",68669,35525,32134
"CO",8125,"Yuma",4481,950,3433
"CO",8123,"Weld",112695,47418,62350
"CO",8121,"Washington",2567,461,2059
"CO",8119,"Teller",12144,3894,7909
"CO",8117,"Summit",15038,9169,5495
"CO",8115,"Sedgwick",1337,419,881
"CO",8113,"San Miguel",4215,2961,1144
"CO",8111,"San Juan",506,266,212
"CO",8109,"Saguache",2796,1762,937
"CO",8107,"Routt",13038,7389,5361
"CO",8105,"Rio Grande",5453,2428,2892
"CO",8103,"Rio Blanco",3311,561,2677
"CO",8101,"Pueblo",73306,40624,31023
"CO",8099,"Prowers",4809,1498,3200
"CO",8097,"Pitkin",9779,6648,2941
"CO",8095,"Phillips",2265,588,1637
"CO",8093,"Park",9054,3721,5085
"CO",8091,"Ouray",3183,1640,1470
"CO",8089,"Otero",8039,3566,4315
"CO",8087,"Morgan",10478,3761,6461
"CO",8085,"Montrose",19054,5852,12789
"CO",8083,"Montezuma",12232,4486,7372
"CO",8081,"Moffat",6042,1291,4616
"CO",8079,"Mineral",650,291,344
"CO",8077,"Mesa",69033,22448,45087
"CO",8075,"Logan",9030,2675,6124
"CO",8073,"Lincoln",2248,537,1663
"CO",8071,"Las Animas",6532,3282,3105
"CO",8069,"Larimer",161823,83103,74603
"CO",8067,"La Plata",28475,15063,12554
"CO",8065,"Lake",2993,1807,1087
"CO",8063,"Kit Carson",3525,789,2664
"CO",8061,"Kiowa",821,118,677
"CO",8059,"Jefferson",300151,153069,139960
"CO",8057,"Jackson",848,216,600
"CO",8055,"Huerfano",3623,1897,1615
"CO",8053,"Hinsdale",598,228,352
"CO",8051,"Gunnison",7912,4563,3106
"CO",8049,"Grand",7961,3575,4149
"CO",8047,"Gilpin",3271,1854,1320
"CO",8045,"Garfield",23695,10989,12159
"CO",8043,"Fremont",20258,6644,13087
"CO",8041,"El Paso",275604,104989,163819
"CO",8039,"Elbert",13993,3542,10148
"CO",8037,"Eagle",22374,12598,9317
"CO",8035,"Douglas",150160,54093,93930
"CO",8033,"Dolores",1218,329,838
"CO",8031,"Denver",285564,209759,69755
"CO",8029,"Delta",15681,4542,10762
"CO",8027,"Custer",2697,862,1776
"CO",8025,"Crowley",1502,535,924
"CO",8023,"Costilla",1804,1317,440
"CO",8021,"Conejos",4027,2180,1794
"CO",8019,"Clear Creek",5610,3041,2381
"CO",8017,"Cheyenne",1045,162,858
"CO",8015,"Chaffee",10217,4967,4949
"CO",8014,"Broomfield",32191,16653,14765
"CO",8013,"Boulder",173207,120485,48526
"CO",8011,"Bent",1881,778,1053
"CO",8009,"Baca",2096,462,1554
"CO",8007,"Archuleta",6646,2637,3831
